date,ln_RV,RV,,,,,
1/4/2010,-0.860657588,0.422883907,,,,,
1/5/2010,-1.002449936,0.366979263,,,,,
1/6/2010,-0.729599929,0.482101827,,,,,
1/7/2010,-1.070281311,0.342912039,,,,,
1/8/2010,-0.54708986,0.57863126,,,,,
1/11/2010,-0.844610446,0.429724727,,,,,
1/12/2010,-0.960847817,0.3825684,,,,,
1/13/2010,-1.087497108,0.337059061,,,,,
1/14/2010,-1.275074587,0.279410127,,,,,
1/15/2010,-1.043474421,0.352228762,,,,,
1/18/2010,-1.966565639,0.139936625,,,,,
1/19/2010,-1.226641326,0.293275944,,,,,
1/20/2010,-0.604642527,0.546269668,,,,,
1/21/2010,-0.466246403,0.627352684,,,,,
1/22/2010,-0.847238546,0.42859685,,,,,
1/25/2010,-1.246624499,0.287473528,,,,,
1/26/2010,-1.087925623,0.336914657,,,,,
1/27/2010,-0.995061465,0.36970072,,,,,
1/28/2010,-0.984281578,0.37370761,,,,,
1/29/2010,-1.020777383,0.360314729,,,,,
2/1/2010,-1.29584019,0.273667835,,,,,
2/2/2010,-1.447656854,0.235120565,,,,,
2/3/2010,-1.577120259,0.206569108,,,,,
2/4/2010,-1.084879149,0.337942624,,,,,
2/5/2010,-0.21692721,0.804988562,,,,,
2/8/2010,-0.972207498,0.378247136,,,,,
2/9/2010,-0.322871738,0.724066719,,,,,
2/10/2010,-0.65347524,0.520234691,,,,,
2/11/2010,-0.701888505,0.495648385,,,,,
2/12/2010,-0.435160874,0.647160548,,,,,
2/15/2010,-1.762726568,0.171576411,,,,,
2/16/2010,-0.98142977,0.374774874,,,,,
2/17/2010,-0.98036583,0.375173824,,,,,
2/18/2010,-0.368424304,0.691823576,,,,,
2/19/2010,-0.484478396,0.616018431,,,,,
2/22/2010,-1.01375338,0.36285449,,,,,
2/23/2010,-0.674833812,0.509241043,,,,,
2/24/2010,-0.843120659,0.430365402,,,,,
2/25/2010,-0.707664264,0.492793891,,,,,
2/26/2010,-0.734654039,0.479671378,,,,,
3/1/2010,-0.278444748,0.75696009,,,,,
3/2/2010,-0.338129713,0.713102783,,,,,
3/3/2010,-0.699393825,0.496886413,,,,,
3/4/2010,-0.825997235,0.437798187,,,,,
3/5/2010,-1.114325569,0.32813651,,,,,
3/8/2010,-1.394246478,0.248019854,,,,,
3/9/2010,-1.31206656,0.269263033,,,,,
3/10/2010,-1.351740967,0.258789324,,,,,
3/11/2010,-1.185100703,0.305715392,,,,,
3/12/2010,-1.216557295,0.296248309,,,,,
3/15/2010,-1.483944525,0.226741535,,,,,
3/16/2010,-1.088378404,0.336762143,,,,,
3/17/2010,-1.49589479,0.224048039,,,,,
3/18/2010,-1.028891705,0.357402849,,,,,
3/19/2010,-1.476758847,0.228376694,,,,,
3/22/2010,-1.241588695,0.28892484,,,,,
3/23/2010,-1.059019096,0.346795817,,,,,
3/24/2010,-0.620755401,0.537538227,,,,,
3/25/2010,-0.689794946,0.50167893,,,,,
3/26/2010,-0.943785006,0.389152101,,,,,
3/29/2010,-1.071633271,0.342448749,,,,,
3/30/2010,-1.20484333,0.299738956,,,,,
3/31/2010,-1.122842432,0.325353683,,,,,
4/1/2010,-0.946848347,0.38796182,,,,,
4/2/2010,-1.735139822,0.176375537,,,,,
4/5/2010,-1.354614585,0.25804673,,,,,
4/6/2010,-1.266532416,0.281807119,,,,,
4/7/2010,-1.413401639,0.243314207,,,,,
4/8/2010,-1.409387581,0.244292847,,,,,
4/9/2010,-0.82193505,0.439580221,,,,,
4/12/2010,-0.796953041,0.450700139,,,,,
4/13/2010,-1.12956214,0.323174731,,,,,
4/14/2010,-1.191430737,0.303786315,,,,,
4/15/2010,-1.348893505,0.259527267,,,,,
4/16/2010,-1.034377405,0.355447612,,,,,
4/19/2010,-1.403449362,0.245747827,,,,,
4/20/2010,-1.416292293,0.242611885,,,,,
4/21/2010,-1.477887055,0.228119183,,,,,
4/22/2010,-1.17589535,0.308542602,,,,,
4/23/2010,-0.395374264,0.673427952,,,,,
4/26/2010,-1.000955653,0.367528044,,,,,
4/27/2010,-0.537571291,0.584165299,,,,,
4/28/2010,-0.023539442,0.976735449,,,,,
4/29/2010,-0.818560362,0.441066173,,,,,
4/30/2010,-0.774460286,0.460952497,,,,,
5/3/2010,-0.950624454,0.386499597,,,,,
5/4/2010,-0.909274772,0.402816252,,,,,
5/5/2010,-0.307477303,0.735299556,,,,,
5/6/2010,0.370657764,1.448687195,,,,,
5/7/2010,0.911444819,2.487914523,,,,,
5/10/2010,0.890209159,2.435639033,,,,,
5/11/2010,0.223345507,1.25025247,,,,,
5/12/2010,-0.135787183,0.873028408,,,,,
5/13/2010,-0.452351423,0.63613058,,,,,
5/14/2010,-0.009771307,0.990276277,,,,,
5/17/2010,0.317312862,1.3734322,,,,,
5/18/2010,0.326867392,1.386617588,,,,,
5/19/2010,0.714917389,2.044017818,,,,,
5/20/2010,0.640593862,1.897607462,,,,,
5/21/2010,0.64063073,1.897677424,,,,,
5/24/2010,-0.092589727,0.911567415,,,,,
5/25/2010,0.031999247,1.032516728,,,,,
5/26/2010,-0.06425433,0.937766467,,,,,
5/27/2010,0.175305337,1.191610004,,,,,
5/28/2010,0.154852869,1.167486175,,,,,
5/31/2010,-0.9804859,0.375128779,,,,,
6/1/2010,-0.105465403,0.899905606,,,,,
6/2/2010,-0.104714696,0.900581425,,,,,
6/3/2010,-0.473161923,0.62302918,,,,,
6/4/2010,0.140647625,1.151018987,,,,,
6/7/2010,-0.204774377,0.81483114,,,,,
6/8/2010,-0.34682678,0.706927771,,,,,
6/9/2010,-0.63379495,0.530574472,,,,,
6/10/2010,-0.151534496,0.859388237,,,,,
6/11/2010,-0.591522144,0.55348416,,,,,
